ds,y
2016-04,1005.21353
2016-04,13.91515
2016-04,4.33238
2016-04,237.50436
2016-04,119.71296
2016-04,2578.59374
2016-04,1124.92649
2016-03,1646.29709
2016-03,252.20392
2016-03,19.3473
2016-03,5.47906
2016-03,3071.21821
2016-03,257.51771
2016-03,2794.3532
2016-03,14.96534
2016-03,2660.57409
2016-03,1014.277
2016-03,4.38196
2016-03,1148.05611
2016-03,133.77911
2016-03,5.31379
2016-02,127.64686
2016-02,18.64176
2016-02,2894.60136
2016-02,250.46415
2016-02,1172.68144
2016-02,5.83437
2016-02,2766.95449
2016-02,245.24987
2016-02,5.21428
2016-02,14.92199
2016-02,3.71978
2016-02,1721.91992
2016-02,1045.03458
2016-02,3163.70726
2016-01,3123.51258
2016-01,1959.02171
2016-01,16.27822
2016-01,5.54004
2016-01,4.06967
2016-01,139.85351
2016-01,1164.49087
2016-01,3553.04063
2016-01,20.34789
2016-01,6.85863
2016-01,269.32665
2016-01,3263.36609
2016-01,1304.34437
2016-01,263.78661
2015-12,1216.77003
2015-12,18.8019
2015-12,7.95313
2015-12,4.45482
2015-12,269.56038
2015-12,14.34708
2015-12,1761.04454
2015-12,134.89592
2015-12,2842.91865
2015-12,275.53124
2015-12,5.97086
2015-12,3272.14771
2015-12,1081.8741
2015-12,2977.81457
2015-11,1175.8918
2015-11,17.96313
2015-11,1044.33859
2015-11,7.44509
2015-11,1599.55241
2015-11,4.45767
2015-11,2643.89099
2015-11,13.50546
2015-11,255.75839
2015-11,131.55322
2015-11,6.34226
2015-11,3055.508
2015-11,262.10065
2015-11,2775.44421
2015-10,2739.64525
2015-10,1668.32252
2015-10,2872.71568
2015-10,3148.65308
2015-10,258.00668
2015-10,17.93073
2015-10,9.05606
2015-10,1071.32273
2015-10,4.04781
2015-10,252.34657
2015-10,133.07043
2015-10,1204.39316
2015-10,5.66011
2015-10,13.88291
2015-09,4.51742
2015-09,1905.70015
2015-09,263.01855
2015-09,3528.35204
2015-09,19.50479
2015-09,8.39039
2015-09,1340.12855
2015-09,3245.8287
2015-09,3106.35212
2015-09,1200.65197
2015-09,256.71346
2015-09,6.30509
2015-09,139.47657
2015-09,14.98737
2015-08,1471.85686
2015-08,7.16395
2015-08,15.55206
2015-08,4.74516
2015-08,149.62793
2015-08,270.49998
2015-08,277.66393
2015-08,20.29721
2015-08,8.78689
2015-08,1322.22893
2015-08,3502.52889
2015-08,2180.29996
2015-08,3950.11796
2015-08,3652.15682
2015-07,4037.1188
2015-07,21.06989
2015-07,8.59389
2015-07,1504.51587
2015-07,279.48107
2015-07,1357.7014
2015-07,5.00724
2015-07,16.06265
2015-07,3589.75337
2015-07,271.60953
2015-07,2232.05197
2015-07,7.87154
2015-07,146.81447
2015-07,3736.56784
2015-06,18.63994
2015-06,255.15186
2015-06,2029.2082
2015-06,3242.93419
2015-06,1213.72598
2015-06,1347.93827
2015-06,14.11485
2015-06,134.21228
2015-06,4.52509
2015-06,7.03116
2015-06,262.18302
2015-06,3657.96943
2015-06,3377.14647
2015-06,7.9605
2015-05,17.56559
2015-05,12.9923
2015-05,2875.05651
2015-05,251.54575
2015-05,4.57329
2015-05,126.03713
2015-05,6.11532
2015-05,1081.74095
2015-05,1793.31556
2015-05,3276.32031
2015-05,3001.09364
2015-05,257.66107
2015-05,5.71404
2015-05,1207.77808
2015-04,2718.42944
2015-04,16.68132
2015-04,1008.14378
2015-04,111.35384
2015-04,12.32176
2015-04,5.99501
2015-04,5.94254
2015-04,4.35956
2015-04,1119.49762
2015-04,2607.0756
2015-04,246.94812
2015-04,1598.93182
2015-04,2988.0539
2015-04,252.94313
2015-03,18.51112
2015-03,3008.90729
2015-03,263.19951
2015-03,3290.61792
2015-03,4.21864
2015-03,257.40895
2015-03,5.79056
2015-03,1092.04772
2015-03,1785.74987
2015-03,14.29248
2015-03,131.1097
2015-03,1223.15742
2015-03,2877.79758
2015-03,5.98926
2015-02,245.79367
2015-02,3406.68676
2015-02,1239.87253
2015-02,3136.45165
2015-02,14.5838
2015-02,3.80324
2015-02,3010.50332
2015-02,18.38704
2015-02,125.94833
2015-02,5.41357
2015-02,1113.9242
2015-02,6.0544
2015-02,251.84807
2015-02,1896.57912
2015-01,3233.68506
2015-01,134.68287
2015-01,15.09462
2015-01,4.13538
2015-01,1206.14535
2015-01,3669.92642
2015-01,3368.36793
2015-01,19.23
2015-01,6.67595
2015-01,1340.82822
2015-01,2027.53972
2015-01,282.32849
2015-01,275.53481
2015-01,6.79368
2014-12,19.19967
2014-12,6.72727
2014-12,1247.47314
2014-12,9.87792
2014-12,3042.54155
2014-12,14.17619
2014-12,3176.54814
2014-12,5.02349
2014-12,134.00659
2014-12,279.23103
2014-12,269.3531
