,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
132,2022-09,US,U.S. Total,99,All Sectors,WNS,offshore wind turbine,0.09842,million MMBtu
133,2022-09,US,U.S. Total,99,All Sectors,WND,wind,238.97595,million MMBtu
134,2022-09,US,U.S. Total,99,All Sectors,WAS,renewable waste products,21.71468,million MMBtu
135,2022-08,US,U.S. Total,99,All Sectors,ALL,all fuels,3921.42461,million MMBtu
136,2022-08,US,U.S. Total,99,All Sectors,ORW,other renewables,4.18079,million MMBtu
137,2022-08,US,U.S. Total,99,All Sectors,OOG,other gases,22.49685,million MMBtu
138,2022-08,US,U.S. Total,99,All Sectors,OBW,biomass,14.36658,million MMBtu
139,2022-08,US,U.S. Total,99,All Sectors,OB2,biomass,4.18079,million MMBtu
140,2022-08,US,U.S. Total,99,All Sectors,NUC,nuclear,718.52595,million MMBtu
141,2022-08,US,U.S. Total,99,All Sectors,NGO,natural gas & other gases,1574.64456,million MMBtu
142,2022-08,US,U.S. Total,99,All Sectors,NG,natural gas,1552.14771,million MMBtu
143,2022-08,US,U.S. Total,99,All Sectors,MSB,biogenic municipal solid waste,10.18579,million MMBtu
144,2022-08,US,U.S. Total,99,All Sectors,MLG,municiapl landfill gas,18.95826,million MMBtu
145,2022-08,US,U.S. Total,99,All Sectors,LIG,lignite coal,44.68829,million MMBtu
146,2022-08,US,U.S. Total,99,All Sectors,LFG,landfill gas,8.77247,million MMBtu
147,2022-08,US,U.S. Total,99,All Sectors,HYC,conventional hydroelectric,191.15529,million MMBtu
148,2022-08,US,U.S. Total,99,All Sectors,HPS,hydro-electric pumped storage,0.0,million MMBtu
149,2022-08,US,U.S. Total,99,All Sectors,GEO,geothermal,12.75409,million MMBtu
150,2022-08,US,U.S. Total,99,All Sectors,FOS,fossil fuels,2517.60519,million MMBtu
151,2022-08,US,U.S. Total,99,All Sectors,DPV,estimated small scale solar photovoltaic,,million MMBtu
152,2022-08,US,U.S. Total,99,All Sectors,WND,wind,215.27914,million MMBtu
153,2022-08,US,U.S. Total,99,All Sectors,WAS,renewable waste products,23.13905,million MMBtu
154,2022-08,US,U.S. Total,99,All Sectors,TSN,estimated total solar,,million MMBtu
155,2022-08,US,U.S. Total,99,All Sectors,TPV,estimated total solar photovoltaic,,million MMBtu
156,2022-08,US,U.S. Total,99,All Sectors,SUN,solar,127.11915,million MMBtu
157,2022-08,US,U.S. Total,99,All Sectors,SUB,subbituminous coal,507.17848,million MMBtu
158,2022-08,US,U.S. Total,99,All Sectors,STH,solar thermal,2.46993,million MMBtu
159,2022-08,US,U.S. Total,99,All Sectors,SPV,solar photovoltaic,124.64922,million MMBtu
160,2022-08,US,U.S. Total,99,All Sectors,RFO,residual fuel oil,5.13455,million MMBtu
161,2022-08,US,U.S. Total,99,All Sectors,REN,renewable,668.49645,million MMBtu
162,2022-08,US,U.S. Total,99,All Sectors,RC,refined coal,32.15294,million MMBtu
163,2022-08,US,U.S. Total,99,All Sectors,PET,petroleum,20.30224,million MMBtu
164,2022-08,US,U.S. Total,99,All Sectors,PEL,petroleum liquids,11.85252,million MMBtu
165,2022-08,US,U.S. Total,99,All Sectors,WWW,wood and wood wastes,99.04974,million MMBtu
166,2022-08,US,U.S. Total,99,All Sectors,WOO,waste oil and other oils,1.12049,million MMBtu
167,2022-08,US,U.S. Total,99,All Sectors,WOC,waste coal,7.09953,million MMBtu
168,2022-08,US,U.S. Total,99,All Sectors,WNT,onshore wind turbine,215.20701,million MMBtu
169,2022-08,US,U.S. Total,99,All Sectors,WNS,offshore wind turbine,0.07212,million MMBtu
170,2022-08,US,U.S. Total,99,All Sectors,PC,petroleum coke,8.44972,million MMBtu
171,2022-08,US,U.S. Total,99,All Sectors,OTH,other,16.79702,million MMBtu
172,2022-08,US,U.S. Total,99,All Sectors,DFO,distillate fuel oil,5.59748,million MMBtu
173,2022-08,US,U.S. Total,99,All Sectors,COW,all coal products,922.65839,million MMBtu
174,2022-08,US,U.S. Total,99,All Sectors,COL,"coal, excluding waste coal",915.55886,million MMBtu
175,2022-08,US,U.S. Total,99,All Sectors,BIT,bituminous coal,331.53916,million MMBtu
176,2022-08,US,U.S. Total,99,All Sectors,BIS,bituminous coal and synthetic coal,331.53916,million MMBtu
177,2022-08,US,U.S. Total,99,All Sectors,BIO,biomass,122.18879,million MMBtu
178,2022-08,US,U.S. Total,99,All Sectors,AOR,all renewables,477.34117,million MMBtu
179,2022-08,US,U.S. Total,99,All Sectors,ANT,anthracite coal,0.0,million MMBtu
180,2022-07,US,U.S. Total,99,All Sectors,NUC,nuclear,718.10881,million MMBtu
181,2022-07,US,U.S. Total,99,All Sectors,NGO,natural gas & other gases,1594.7308,million MMBtu
